,Vision Backbone,Role Description,Accuracy (campus),Accuracy (courtyard),Accuracy (lab),Accuracy (lobby),Accuracy (overall)
0,ResNet50,Basic,0.7075156110615521,0.7729741964689905,0.659630332492786,0.6969776471822856,0.7098747183297529
1,ResNet50,Detailed,0.9468945138269402,0.8928625320657915,0.6595783398757377,0.8288120474341484,0.8306036776444156
2,ViT-B/32,Basic,0.760593220338983,0.9304109451234848,0.611355187563366,0.792265715185224,0.7751696591050934
3,ViT-B/32,Detailed,0.8249888492417484,0.913032543634626,0.6779837263108639,0.8498268443698185,0.8170572275107248
4,ViT-L/14,Basic,0.8951549955396967,0.9773150243951512,0.748485715028466,0.942491342218491,0.8914050336033426
5,ViT-L/14,Detailed,0.8245149420160571,0.750892812232785,0.6845347960589596,0.6937244201909959,0.7371581360820407
