,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.7525765325597373,0.24719444232384152,0.00022902511642110084
teammate,7.417847340701729e-05,0.9836065573770492,0.0163192641495438
supervisor,7.580926389204761e-05,7.580926389204761e-05,0.9998483814722159
