,Vision Backbone,Scene Description,Method,Number of Updates,Accuracy
502,ViT-L/14,Basic,visual,23,0.7575757575757576
503,ViT-L/14,Basic,joint,23,0.8827361563517915
504,ViT-L/14,Basic,audio,24,0.7835365853658537
505,ViT-L/14,Basic,visual,24,0.7090909090909091
506,ViT-L/14,Basic,joint,24,0.8780487804878049
507,ViT-L/14,Basic,audio,25,0.7987804878048781
508,ViT-L/14,Basic,visual,25,0.7121212121212122
509,ViT-L/14,Basic,joint,25,0.8838951310861424
510,ViT-L/14,Basic,audio,26,0.7987804878048781
511,ViT-L/14,Basic,visual,26,0.7575757575757576
512,ViT-L/14,Basic,joint,26,0.889795918367347
513,ViT-L/14,Basic,audio,27,0.7987804878048781
514,ViT-L/14,Basic,visual,27,0.7121212121212122
515,ViT-L/14,Basic,joint,27,0.9
516,ViT-L/14,Basic,audio,28,0.8170731707317073
517,ViT-L/14,Basic,visual,28,0.706060606060606
518,ViT-L/14,Basic,joint,28,0.8706896551724138
519,ViT-L/14,Basic,audio,29,0.8170731707317073
520,ViT-L/14,Basic,visual,29,0.7515151515151515
521,ViT-L/14,Basic,joint,29,0.8888888888888888
