,Vision Backbone,Scene Description,Method,Number of Updates,Accuracy
111,ViT-B/32,Basic,audio,9,0.7408536585365854
112,ViT-B/32,Basic,visual,9,0.6878787878787879
113,ViT-B/32,Basic,joint,9,0.7804878048780488
114,ViT-B/32,Basic,audio,10,0.774390243902439
115,ViT-B/32,Basic,visual,10,0.7484848484848485
116,ViT-B/32,Basic,joint,10,0.7859327217125383
117,ViT-B/32,Basic,audio,11,0.774390243902439
118,ViT-B/32,Basic,visual,11,0.7303030303030303
119,ViT-B/32,Basic,joint,11,0.7730061349693251
120,ViT-B/32,Basic,audio,12,0.7774390243902439
121,ViT-B/32,Basic,visual,12,0.706060606060606
122,ViT-B/32,Basic,joint,12,0.7723076923076924
123,ViT-B/32,Basic,audio,13,0.774390243902439
124,ViT-B/32,Basic,visual,13,0.7333333333333333
125,ViT-B/32,Basic,joint,13,0.7630769230769231
126,ViT-B/32,Basic,audio,14,0.7804878048780488
127,ViT-B/32,Basic,visual,14,0.7363636363636363
128,ViT-B/32,Basic,joint,14,0.7692307692307693
129,ViT-B/32,Basic,audio,15,0.774390243902439
130,ViT-B/32,Basic,visual,15,0.7151515151515152
131,ViT-B/32,Basic,joint,15,0.7678018575851393
132,ViT-B/32,Basic,audio,16,0.7865853658536586
133,ViT-B/32,Basic,visual,16,0.7575757575757576
134,ViT-B/32,Basic,joint,16,0.7647058823529411
135,ViT-B/32,Basic,audio,17,0.7865853658536586
136,ViT-B/32,Basic,visual,17,0.7393939393939394
137,ViT-B/32,Basic,joint,17,0.7647058823529411
138,ViT-B/32,Basic,audio,18,0.7835365853658537
139,ViT-B/32,Basic,visual,18,0.703030303030303
140,ViT-B/32,Basic,joint,18,0.7554179566563467
141,ViT-B/32,Basic,audio,19,0.7865853658536586
142,ViT-B/32,Basic,visual,19,0.7272727272727273
143,ViT-B/32,Basic,joint,19,0.7608695652173914
144,ViT-B/32,Basic,audio,20,0.7865853658536586
145,ViT-B/32,Basic,visual,20,0.7424242424242424
146,ViT-B/32,Basic,joint,20,0.7577639751552795
147,ViT-B/32,Basic,audio,21,0.7835365853658537
148,ViT-B/32,Basic,visual,21,0.7181818181818181
