,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
32,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996392.5067897,0,person,supervisor,none
33,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996393.5068007,0,person,supervisor,none
34,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996394.5734522,0,person,supervisor,none
35,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996395.4734516,0,person,supervisor,none
36,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996396.540247,0,person,supervisor,none
37,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996397.5069053,0,person,supervisor,none
38,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996398.5735729,0,person,supervisor,none
39,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996399.5069115,0,person,supervisor,follow-me
40,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996400.5069244,0,person,supervisor,none
41,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996401.4402428,0,person,supervisor,none
42,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996402.5069,0,person,supervisor,none
43,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996403.5070627,0,person,supervisor,none
44,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996404.3403926,0,person,supervisor,none
45,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996405.4403899,0,person,supervisor,none
46,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996406.5071635,0,person,supervisor,none
47,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996407.5070562,0,person,supervisor,none
48,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996408.5070515,0,person,supervisor,none
49,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996409.5070543,0,person,supervisor,none
50,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996410.4403992,0,person,supervisor,none
51,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996411.5070438,0,person,supervisor,follow-me
52,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996412.507229,0,person,supervisor,none
53,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996413.5072086,0,person,supervisor,none
54,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996414.5072038,0,person,supervisor,none
55,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996415.5738788,0,person,supervisor,none
56,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996416.4738789,0,person,supervisor,none
57,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996417.5072176,0,person,supervisor,follow-me
58,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996418.5072188,0,person,supervisor,none
59,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,follow-me,artag,verbal,1720996419.4405508,0,person,supervisor,none
60,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996419.4405508,0,person,supervisor,none
61,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996419.4405508,0,person,supervisor,none
62,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996419.4405508,0,person,supervisor,none
63,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996547.409622,0,person,supervisor,none
