,pedestrian_est,teammate_est,supervisor_est
pedestrian,0.227946114644649,0.7708292181882826,0.0012246671670683047
teammate,0.00870018133415641,0.9910683282534049,0.0002314904124387515
supervisor,0.007053575017081307,0.002311000361721796,0.9906354246211969
