,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38580.0,1.0,74.0,1.0
courtyard_actual,42907.0,2.0,1.0,1.0
lab_actual,5319.0,1.0,36867.0,5.0
lobby_actual,5402.0,1.0,2.0,36038.0
