,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35941.0,17.0,1.0,2697.0
courtyard_actual,38323.0,4020.0,1.0,567.0
lab_actual,1.0,1.0,41416.0,774.0
lobby_actual,1.0,1.0,34.0,41407.0
