,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38651.0,1.0,0.0,0.0
courtyard_actual,42481.0,134.0,292.0,0.0
lab_actual,73.0,0.0,39092.0,3023.0
lobby_actual,695.0,0.0,29.0,40715.0
