,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
campus,0.003933566433566434,0.006555944055944056,0.019230769230769232,0.010052447552447552,0.08610139860139861,0.0034965034965034965,0.00043706293706293706,0.00043706293706293706,0.021416083916083916,0.8483391608391608
courtyard,0.0016161616161616162,0.11878787878787879,0.0024242424242424242,0.0048484848484848485,0.2925252525252525,0.0012121212121212121,0.00040404040404040404,0.0012121212121212121,0.007676767676767677,0.5692929292929293
lab,0.007581803671189146,0.05666400638467677,0.8419792498004789,0.012370311252992818,0.035913806863527534,0.0015961691939345571,0.0003990422984836393,0.0003990422984836393,0.028332003192338386,0.014764565043894652
lobby,0.19127243066884175,0.0199836867862969,0.08197389885807504,0.18923327895595432,0.39845024469820556,0.0004078303425774878,0.029771615008156605,0.0065252854812398045,0.00897226753670473,0.0734094616639478
