,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35940.0,16.0,0.0,2696.0
courtyard_actual,38322.0,4019.0,0.0,566.0
lab_actual,0.0,0.0,41415.0,773.0
lobby_actual,0.0,0.0,33.0,41406.0
