,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35194.0,3460.0,1.0,1.0
courtyard_actual,156.0,42753.0,1.0,1.0
lab_actual,1.0,51.0,41927.0,213.0
lobby_actual,1.0,17.0,4785.0,36640.0
