,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,38579.0,0.0,73.0,0.0
courtyard_actual,42906.0,1.0,0.0,0.0
lab_actual,5318.0,0.0,36866.0,4.0
lobby_actual,5401.0,0.0,1.0,36037.0
