,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,655.0,37997.0,0.0,0.0
courtyard_actual,0.0,42907.0,0.0,0.0
lab_actual,0.0,0.0,42188.0,0.0
lobby_actual,0.0,1.0,35161.0,6277.0
