,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
campus,8.0,14.0,43.0,22.0,196.0,7.0,0.0,0.0,48.0,1940.0
courtyard,3.0,293.0,5.0,11.0,723.0,2.0,0.0,2.0,18.0,1408.0
lab,18.0,141.0,2109.0,30.0,89.0,3.0,0.0,0.0,70.0,36.0
lobby,468.0,48.0,200.0,463.0,976.0,0.0,72.0,15.0,21.0,179.0
