,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,656.0,37998.0,1.0,1.0
courtyard_actual,1.0,42908.0,1.0,1.0
lab_actual,1.0,1.0,42189.0,1.0
lobby_actual,1.0,2.0,35162.0,6278.0
