,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,29965.0,1292.0,4810.0,2589.0
courtyard_actual,27418.0,5952.0,9538.0,3.0
lab_actual,1.0,1.0,38183.0,4007.0
lobby_actual,1.0,1.0,1.0,41440.0
