,campus_est,courtyard_est,lab_est,lobby_est
campus_actual,35193.0,3459.0,0.0,0.0
courtyard_actual,155.0,42752.0,0.0,0.0
lab_actual,0.0,50.0,41926.0,212.0
lobby_actual,0.0,16.0,4784.0,36639.0
